title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Aronsson2002,6,,,,"Aronsson, Lars",Elpub,,,,,,,,,,,,,,,,,,,,,"Operation of a Large Scale, General Purpose Wiki Website.",,,2002,,http://elpub.architexturez.net/system/files/pdf/02-03.content_0.pdf,bibtex,,,,,
Aronsson2002a,6,,,,"Aronsson, Lars",Elpub,,,,,,,,,,,,,,,,,,,,,"Operation of a Large Scale, General Purpose Wiki Website.",,,2002,,http://elpub.architexturez.net/system/files/pdf/02-03.content_0.pdf,bibtex,,,,,
Atkinson2016,7,,,,"Atkinson, Paul",,,,,,,,,Qualitative Research,,,,,,2,,236--241,,,,,Digital ethnographies,,16,2016,,http://qrj.sagepub.com/content/16/2/236.short,bibtex,,,,,
Bagnoli2006,1,,,,"Bagnoli, Franco and Jipsen, Peter and Sterbini, Andrea",,,,,,,,,,,,,,,,,,{ITHET},,,,Tiddlywiki in science education,,,2006,,http://www.academia.edu/download/44779373/TiddlyWiki_in_Science_Education20160415-24634-dvo6mu.pdf,bibtex,,,,,
Bagnoli2006a,1,,,,"Bagnoli, Franco and Jipsen, Peter and Sterbini, Andrea",,,,,,,,,,,,,,,,,,{ITHET},,,,Tiddlywiki in science education,,,2006,,http://www.academia.edu/download/44779373/TiddlyWiki_in_Science_Education20160415-24634-dvo6mu.pdf,bibtex,,,,,
Bagnoli2006b,1,,,,"Bagnoli, Franco and Jipsen, Peter and Sterbini, Andrea",,,,,,,,,,,,,,,,,,{ITHET},,,,Tiddlywiki in science education,,,2006,,http://www.academia.edu/download/44779373/TiddlyWiki_in_Science_Education20160415-24634-dvo6mu.pdf,bibtex,,,,,
Bakoa,7,,,,"Bakó, Mária and Aszalós, László",,,,,,,,,,,,,,,,,,,,,,Learning environments in eBook format,,,,,http://www.icvl.eu/2011/disc/structura/icvl/documente/pdf/tech/ICVL_Technologies_paper08.pdf,bibtex,,,,,
Bakshi2016,7,,,,"Bakshi, Divya",,,,,,,,,Anglisticum Journal,,,,,,3,,,,,,,Hypertext and Feminisms: Voicing the Silence (d),,3,2016,,http://anglisticum.mk/index.php/Anglisticum/article/view/625,bibtex,,,,,
Barker2008,6,,,,"Barker, Philip","Proceedings of World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education",,,,,,,,,,,,,,,,581--589,,,,,Using wikis and weblogs to enhance human performance,,,2008,,https://www.editlib.org/index.cfm/files/paper_29665.pdf?fuseaction=Reader.DownloadFullText&paper_id=29665,bibtex,,,,,
Barker2008d,6,,,,"Barker, Philip","Proceedings of World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education",,,,,,,,,,,,,,,,581--589,,,,,Using wikis and weblogs to enhance human performance,,,2008,,https://www.editlib.org/index.cfm/files/paper_29665.pdf?fuseaction=Reader.DownloadFullText&paper_id=29665,bibtex,,,,,
Barker2008e,6,,,,"Barker, P. G.","Proceedings of the {ED}-{MEDIA} 2008 World Conference on Educational Multimedia, Hypermedia and Telecommunications",,,,,,,,,,,,,,,,3604--3613,,,,,Using Wikis for Knowledge Management,,,2008,,https://www.editlib.org/p/28886/proceeding_28886.pdf,bibtex,,,,,
Bernstein2016,1,,,,"Bernstein, Mark",,,,,,,,,,,,,,,,,,"Eastgate Systems, Inc",,,,Getting Started With Hypertext Narrative,,,2016,,,bibtex,,,,,
Blustein2016a,7,,,,"Blustein, James and Graff, Ann-Barbara",,,,,,,,,Social Media Archeology and Poetics,,,,,,,,119,,,,,6 alt. hypertext: An Early Social Medium,,,2016,,https://books.google.com/books?hl=en&lr=&id=dPjdDAAAQBAJ&oi=fnd&pg=PA119&dq=hypertext&ots=fEESfFDhtn&sig=ygSkDRTvC9QETpNnVxJM4Ay-L9s,bibtex,,,,,
Blustein2016,7,,,,"Blustein, Jamie and Herder, Eelco and Rubart, Jessica and Ashman, Helen",,,,,,,,,{ACM} {SIGWEB} Newsletter,,,,,,,,1,,,,,27 th ACM International Conference on Hypertext and Social Media,,,2016,,http://dl.acm.org/citation.cfm?id=2857660,bibtex,,,,,
Buffa2006,6,,,,"Buffa, Michel and Gandon, Fabien",Proceedings of the 2006 international symposium on Wikis,,,,,,,,,,,,,,,,69--78,{ACM},,,,SweetWiki: semantic web enabled technologies in Wiki,,,2006,,http://dl.acm.org/citation.cfm?id=1149469,bibtex,,,,,
Burrow2004,6,,,,"Burrow, Andrew Lincoln",Proceedings of the fifteenth {ACM} conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,77--86,{ACM},,,,Negotiating access within Wiki: a system to construct and maintain a taxonomy of access rules,,,2004,,http://dl.acm.org/citation.cfm?id=1012831,bibtex,,,,,
Burrow2004a,6,,,,"Burrow, Andrew Lincoln",Proceedings of the fifteenth {ACM} conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,77--86,{ACM},,,,Negotiating access within Wiki: a system to construct and maintain a taxonomy of access rules,,,2004,,http://dl.acm.org/citation.cfm?id=1012831,bibtex,,,,,
Burry2005,6,,,,"Burry, Jane and Burrow, Andrew and Amor, Robert and Burry, Mark",{CAAD} Futures 2005,,,,,,,,,,,,,,,,,Springer,,,,Shared design space. The contribution of augmented wiki hypertext to design collaboration.,,,2005,,https://researchbank.rmit.edu.au/view/rmit:1820,bibtex,,,,,
Burry2005a,6,,,,"Burry, Jane and Burrow, Andrew and Amor, Robert and Burry, Mark",{CAAD} Futures 2005,,,,,,,,,,,,,,,,,Springer,,,,Shared design space. The contribution of augmented wiki hypertext to design collaboration.,,,2005,,https://researchbank.rmit.edu.au/view/rmit:1820,bibtex,,,,,
Burry2005b,5,,,,"Burry, Jane and Burrow, Andrew and Amor, Robert and Burry, Mark",Computer Aided Architectural Design Futures 2005,,,,,,,,,,,,,,,,217--226,Springer,,,,Shared design space,,,2005,,http://link.springer.com/chapter/10.1007/1-4020-3698-1_20,bibtex,,,,,
Conradty2016,7,,,,"Conradty, Cathérine and Bogner, Franz X.",,,,,,,,,Education Sciences,,,,,,3,,29,,,,,Hypertext or Textbook: Effects on Motivation and Gain in Knowledge,,6,2016,,http://www.mdpi.com/2227-7102/6/3/29/htm,bibtex,,,,,
Cunningham2006,6,,,,"Cunningham, Ward",Int. Sym. Wikis,,,,,,,,,,,,,,,,13--14,,,,,Design Principles of Wiki: How can so little do so much?,,,2006,,https://pdfs.semanticscholar.org/2713/89a35bb3c98101d65dd70ba79c3b188615c5.pdf,bibtex,,,,,
Cunningham2006a,6,,,,"Cunningham, Ward",Int. Sym. Wikis,,,,,,,,,,,,,,,,13--14,,,,,Design Principles of Wiki: How can so little do so much?,,,2006,,https://pdfs.semanticscholar.org/2713/89a35bb3c98101d65dd70ba79c3b188615c5.pdf,bibtex,,,,,
Cunningham2002,7,,,,"Cunningham, Ward and {others}",,,,,,,,,{WikiWikiWeb}. http://www. wiki. org/wiki. cgi,,,,,,,,,,,,,What is wiki,,,2002,,,bibtex,,,,,
Dalgaard2001,6,"New York, {NY}, {USA}",,,"Dalgaard, Rune",Proceedings of the 12th {ACM} Conference on Hypertext and Hypermedia,,,,,,,,,,,,,,,,175--184,{ACM},,,{HYPERTEXT} '01,"Hypertext and the Scholarly Archive: Intertexts, Paratexts and Metatexts at Work",,,2001,,http://doi.acm.org/10.1145/504216.504262,bibtex,,,,,978-1-58113-420-9
Dang2008,6,,,,"Dang, Dinh-Trung and Tan, Yee Fan and Kan, Min-Yen",International Conference on Asian Digital Libraries,,,,,,,,,,,,,,,,313--316,Springer,,,,Towards a Webpage-based bibliographic manager,,,2008,,http://link.springer.com/chapter/10.1007/978-3-540-89533-6_33,bibtex,,,,,
Dang2008a,6,,,,"Dang, Dinh-Trung and Tan, Yee Fan and Kan, Min-Yen",International Conference on Asian Digital Libraries,,,,,,,,,,,,,,,,313--316,Springer,,,,Towards a Webpage-based bibliographic manager,,,2008,,http://link.springer.com/chapter/10.1007/978-3-540-89533-6_33,bibtex,,,,,
Dang2008b,6,,,,"Dang, Dinh-Trung and Tan, Yee Fan and Kan, Min-Yen",International Conference on Asian Digital Libraries,,,,,,,,,,,,,,,,313--316,Springer,,,,Towards a Webpage-based bibliographic manager,,,2008,,http://link.springer.com/chapter/10.1007/978-3-540-89533-6_33,bibtex,,,,,
DeCiccio2007,1,,,,"{DeCiccio}, Michael",,,,,,,,,,,,,,,,,,{ProQuest},,,,Developing a Flexible Information Repository: A Case Study Using TiddlyWiki for a Knowledge Management System,,,2007,,,bibtex,,,,,
DeCiccio2007a,1,,,,"{DeCiccio}, Michael",,,,,,,,,,,,,,,,,,{ProQuest},,,,Developing a Flexible Information Repository: A Case Study Using TiddlyWiki for a Knowledge Management System,,,2007,,,bibtex,,,,,
