SUBJECT,SUBJECT_DESC,CRSE_TITLE,CRSE_NUMB,COURSE_DESC,PREREQ,CREDIT_HOURS,DISTRIBUTION,,
BU,Business,Bus Organization & Management,111,"Business Organization and Management provides a comprehensive introduction to fundamental business principles and procedures. Emphasis is on how the factors of production are used in free-market economies to provide consumers with goods and services. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Business Communications,112,"This course studies the principles of effective business communication as they relate to contemporary business organizations. Emphasis is on developing skill in planning, organizing, composing, and revising business messages. Specific topics include preparing business correspondence, reports and presentations.  The job search and problems unique to intercultural business communication are also discussed. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Accounting I,114,"Accounting I provides an introduction to financial accounting for sole proprietorships.  Journal entry, general ledger, and financial statement preparation is emphasized.  Cash, receivables, inventory, and fixed assets are examined. Contact Hours: (3,1)",,3,Business/Computer,,
BU,Business,Accounting II,115,"Accounting II provides an introduction to financial accounting for partnerships and corporations.  Additional topics covered include accruals and deferrals, payroll, and financial statement analysis.  Managerial accounting is discussed.  Prerequisite: BU 114. Contact Hours: (3,0)",BU 114,3,Business/Computer,,
BU,Business,Business Law I,121,"This course examines the origin and development of contemporary contract law with emphasis placed on the formation of valid contracts. Third-party rights, performance and discharge, breach of contract and remedies are also examined. Basic concepts of negotiable instruments are explored as well. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Business Law II,122,"This course emphasizes fundamental legal principles relating to the formation, interpretation, performance and remedies of sales contracts under the Uniform Commercial Code (UCC). Additional topics explored through case study include warranties, employment and agency relationships and various legal forms of business. Product liability theories are examined as they relate to Article 2 of the UCC. Offered Spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Intro Marketing,141,"Students are introduced to core marketing activities including market segmentation, market research, consumer behavior, product strategy, pricing, promotion, and distribution.  Principles, policies, and practices used by manufacturers, wholesalers, and retailers are covered. The importance of consumer behavior and motivation are analyzed to provide an understanding of market planning.  The system of distribution of goods from the producer to the consumer is discussed. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Marketing Resrch & New Bus Dev,142,"Marketing Research examines the use of statistical research methods to collect, analyze, report and interpret market data.  Emphasis is placed on developing a comprehensive business strategy to market products or services. Prerequisite: BU 141 or permission of instructor. NOTE: Offered fall semesters only. Contact Hours: (3,0)",BU 141,3,Business/Computer,,
BU,Business,Advertising,143,"This course introduces students to the uses of promotional and institutional advertising through print and broadcast media, direct mail, point of sale, and web and social media advertising.  Areas of study include the advertising plan and budget, use of demographics, media selection, copywriting, and layout, as well as coordination of advertising with other phases of sales promotion.  NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Princ Retailing,145,"This course is designed to introduce the student to basic retail terminology, theory and practices as they relate to today's business environment. Retail organization, management and sales promotion are among the topics explored. NOTE: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Digital Business,148,"This is a survey course designed to provide the student with a thorough knowledge of digital business.  Concepts discussed include electronic business, mobile business, and ubiquitous business.  The student will be introduced to both the theory and practice of conducting business digitally.  Note: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Marketing on the Internet,149,"This course explores the concepts and theories of on-line marketing with an emphasis on the use of the Internet and the Web to reach customers. Course topics will include an introduction to the Internet, analyses of the characteristics and behaviors on the Internet user population, the use of the Internet for research, products and pricing for Internet marketing plans, and ethics and laws relating to Internet marketing. Students will explore the characteristics that make web sites effective for various purposes. Students will learn to use email, FTP, a web browser, web search tools and a LISTSERV. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,History of Costume,156,"This course is a survey of fashion history, fashion trends and issues.  The students will examine the major historical influences on fashion as a background to understanding contemporary fashion and anticipating future changes. NOTE: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Textiles,157,"The fabrics commonly used in fashion apparel and home furnishings are studied, including sources of fibers, construction, comparative qualities and usage from the fashion viewpoint.  Methods of fiber identification, yarns, knits, and construction are studied for their practical application in the fashion merchandising field. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Independent Project in Bus,201,"This course provides the student with an opportunity to independently pursue a topic in this area with a faculty resource person. A substantial amount of outside reading and research will be required. In addition, students will meet with a faculty member who will monitor the student's progress. The evaluation in this course will be based upon the written reports and other projects which are submitted throughout the semester.  Permission of the Division Dean is required. Contact Hours: (0,2)",,1,Business/Computer,,
BU,Business,Independent Project in Bus,202,"This course provides the student with an opportunity to independently pursue a topic in this area with a faculty resource person. A substantial amount of outside reading and research will be required. In addition, students will meet with a faculty member who will monitor the student's progress. The evaluation in this course will be based upon the written reports and other projects which are submitted throughout the semester.  Permission of the Division Dean is required. Contact Hours: (0,4)",,2,Business/Computer,,
BU,Business,Independent Project in Busines,203,"This course provides the student with an opportunity to independently pursue a topic in this area with a faculty resource person. A substantial amount of outside reading and research will be required. In addition, students will meet with a faculty member who will monitor the student's progress. The evaluation in this course will be based upon the written reports and other projects which are submitted throughout the semester.  Permission of the Associate Dean is required. Contact Hours: (0,6)",,3,Business/Computer,,
BU,Business,Retail Buying,205,"This course is a study of retail buying to help prepare students for merchandising careers in retailing.  Material will cover basic concepts, principles and techniques used by retail buyers in completing their day-to-day duties and responsibilities. The overall goal is for students to use the information presented to learn how to develop an effective buying strategy. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
